Song URL,Song Title,Album Title,Artist Names
https://music.youtube.com/watch?v=0Fhy8o7ufi8,(Ghost) Riders In the Sky,The Essential Johnny Cash,Johnny Cash
https://music.youtube.com/watch?v=3-S3KiWrDs0,[Snowdrift],Snö,Snail's House
https://music.youtube.com/watch?v=81uYuA1N4Qo,1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$
https://music.youtube.com/watch?v=wBzFgGn8g2Y,2 Minutes to Midnight,Powerslave,Iron Maiden
https://music.youtube.com/watch?v=_sOKkON_UnQ,4:00 A.M.,Mignonne (Mastered by Bernie Grundman),Taeko Onuki
https://music.youtube.com/watch?v=mxc9RQPKAC4,40oz,The Most Hated,Polyphia
https://music.youtube.com/watch?v=AJ8uffDZqRE,9-24-11,Blue Chips 1 & 2,Action Bronson
https://music.youtube.com/watch?v=P2bbcrNpzSg,A Curious Breed of Botherment,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=Echt4HeUXSw,A Fell Air Falleth,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=tFpQmiH2ZZw,A Fine Death,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=4fNrolHxV-g,A Neon Glow Lights the Way,VA-11 Hall-A (Original Soundtrack: Second Round),Garoad
https://music.youtube.com/watch?v=rF4t-x8xN3E,A New Hope,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=JfbtVpNfQ4A,A Sailor Never Sleeps,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=jE1N6RZDhq8,A Thousand Screams,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=pe-AGviZ82U,A Tonberry's Tears,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=xw8nOFNMbPE,A Victory Fanfare Reborn (Full),A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=2JTtZsVjCFI,A World Apart,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=1beTl7ltR5U,ABC,ABC,Polyphia
https://music.youtube.com/watch?v=fo_7QUxLZL0,Abomination,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=T_V76Dm42bY,Achilles Come Down,Go Farther In Lightness,Gang of Youths
https://music.youtube.com/watch?v=Fg2LICBsnFQ,Action Zenigata,Lupin III,Papik
https://music.youtube.com/watch?v=xNEKvweJ_zk,Agent of Inquiry,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
https://music.youtube.com/watch?v=HgJqV06P-yM,Algorhythm,3.15.20,Childish Gambino
https://music.youtube.com/watch?v=WfFnhlKTb3s,All Night Radio,All Night Radio,Ado
https://music.youtube.com/watch?v=KoW--dUuoGI,Ambulance,Ambulance,june
https://music.youtube.com/watch?v=Cln4Sm2lgtE,And You! - A Realm Reborn Medley,A REALM REBORN: FINAL FANTASY XIV Original Soundtrack,Masayoshi Soken
